#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-29T05:38:46 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ51f5e9e84e90 
#INFO -out.max=9999 
#INFO queryParameters=16 
#-oc.form=sexa
#-out.max=9999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/484/609&tab:{J/A+A/484/609/catalog}&key:source=J/A+A/484/609&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/484/609/catalog
#-order=I
#-out=Bmag
#-out=Vmag
#-out=Icmag
#-out=Pmb
#

#RESOURCE=yCat_34840609
#Name: J/A+A/484/609
#Title: BVI photometry and proper motions in M67 (Yadav+, 2008)
#Table J_A_A_484_609_catalog:
#Name: J/A+A/484/609/catalog
#Title: M67 catalog
#---Details of Columns:
    _RAJ2000 ("h:m:s") (A12)   Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
08 52 07.862 +11 49 49.93 14.395 13.809 13.142 100
08 50 55.414 +11 49 49.64 22.005 21.116 20.339   2
08 51 24.372 +11 49 50.45 15.848 15.087 14.263  95
08 51 12.793 +11 49 50.27 21.003 19.358 17.573   0
08 51 31.266 +11 49 51.11 17.849 16.573 15.174  94
08 51 35.211 +11 49 51.28 22.122 20.622 18.271  44
08 51 42.453 +11 49 51.92 13.153 12.550 11.873 100
08 51 49.943 +11 49 52.21 20.758 20.743 20.030   7
08 50 37.535 +11 49 51.14 22.175 21.106 20.537  12
08 52 08.201 +11 49 52.60 22.882 20.948 18.680  42
08 51 01.916 +11 49 53.21 18.852 17.552 16.148   2
08 51 32.710 +11 49 54.48 22.470 20.392 18.676  27
08 50 56.663 +11 49 54.64 15.318 14.641 13.899  99
08 51 26.044 +11 49 55.47 15.454 14.731 13.916  99
08 51 22.866 +11 49 55.73 20.406 19.018 17.513   7
08 51 08.004 +11 49 55.83 16.416 15.545 14.547  98
08 52 08.380 +11 49 58.47 17.545 16.493 15.321  95
08 51 36.737 +11 49 59.04 16.378 15.530 14.628  97
08 51 48.791 +11 49 59.25        20.851 18.664  51
08 51 13.720 +11 49 58.84 14.878 14.311 13.679   2
08 52 21.371 +11 49 59.52 22.457 21.451 19.655   0
08 50 10.417 +11 49 58.16        20.607          6
08 51 42.341 +11 50 02.05 22.424 20.366 19.838   0
08 50 55.528 +11 50 01.46 16.781 15.917 15.004   0
08 51 58.775 +11 50 02.49 14.990 14.297 13.544  99
08 51 34.563 +11 50 02.16        20.757 18.429  20
08 51 11.767 +11 50 01.84 16.359 15.400 14.361  96
08 51 39.232 +11 50 03.80 12.810 12.238 11.578  98
08 51 32.151 +11 50 03.60 13.221 12.630 11.961  99
08 51 37.408 +11 50 05.25 13.185 12.579 11.907  99
08 50 38.311 +11 50 04.31        21.516 20.115   0
08 51 30.405 +11 50 05.82 16.821 15.774 14.623  97
08 51 19.017 +11 50 05.68 13.147 12.533 11.870 100
08 51 01.644 +11 50 06.05 22.155 20.640 18.356  17
08 51 45.957 +11 50 07.41        20.537 17.692   1
08 52 20.106 +11 50 07.52 21.759 19.656 17.017   5
08 51 42.342 +11 50 07.63 12.655 11.598 10.549  98
08 51 41.964 +11 50 07.64 21.809 20.859 19.902   0
08 51 08.386 +11 50 07.77 14.164 13.566 12.926  99
08 50 17.929 +11 50 08.45 22.417 20.725 19.294  36
08 51 02.400 +11 50 10.09 21.494 20.371 18.845   0
08 51 01.059 +11 50 10.87 13.448 12.713 11.928 100
08 51 32.322 +11 50 11.49        21.822 20.711  15
08 51 27.949 +11 50 11.89 15.083 14.403 13.669  99
08 51 53.892 +11 50 13.65 21.398 20.711 20.044   1
08 51 18.572 +11 50 14.29 16.602 15.588 14.490  97
08 51 56.119 +11 50 14.79 13.850 12.878 11.901 100
08 51 15.344 +11 50 14.29 13.372 12.795 12.163 100
08 50 08.535 +11 50 13.83        21.154         24
08 50 55.185 +11 50 16.76 20.042 18.990 17.818   2
08 51 35.473 +11 50 19.23 20.883 19.881 18.974   2
08 51 18.262 +11 50 19.63 14.935 14.285 13.547  99
08 51 48.059 +11 50 20.88        20.864 18.289   3
08 50 38.991 +11 50 19.85 22.126 20.253 17.599   0
08 51 13.662 +11 50 21.56 22.040 20.765 18.810  19
08 52 07.419 +11 50 22.10 13.960 13.185 12.518  99
08 50 32.768 +11 50 20.98 19.273 18.003 16.572  67
08 51 29.883 +11 50 22.86 15.139 14.379 13.556  99
08 51 20.126 +11 50 23.19 14.546 13.950 13.290 100
08 51 35.425 +11 50 24.00 21.450 21.128 18.898   3
08 50 13.012 +11 50 22.33        17.257          0
08 51 35.706 +11 50 24.87 22.187 20.723 19.470   0
08 50 21.576 +11 50 23.13 15.098 14.414 13.702  99
08 51 35.217 +11 50 25.66 21.041 19.371 17.237   1
08 51 08.818 +11 50 27.19 19.385 17.953 16.367  79
08 51 39.994 +11 50 29.57 21.444 21.049 20.296   8
08 50 28.920 +11 50 29.11 19.528 17.979 16.315  47
08 51 32.681 +11 50 30.92 16.629 15.754 14.814  93
08 51 35.154 +11 50 31.56 21.990 20.452 19.074   3
08 51 31.550 +11 50 32.29 21.748 19.945 17.683  14
08 51 13.611 +11 50 32.70 22.743 20.885 20.414   0
08 51 28.992 +11 50 33.10 11.614 10.492  9.398  97
08 51 15.635 +11 50 32.86 22.983 20.855 18.437   4
08 51 12.196 +11 50 33.04 15.632 14.870 14.031  98
08 52 13.257 +11 50 33.76 21.389 21.111 20.323  22
08 51 59.942 +11 50 34.62 19.594 17.985 16.145  72
08 51 12.678 +11 50 34.56 14.214 13.632 12.990 100
08 50 35.201 +11 50 33.88 20.322 20.092 19.577  19
08 51 24.915 +11 50 35.87 21.170 19.337 17.116  51
08 50 57.107 +11 50 36.21 21.958 20.425 18.789   6
08 51 47.424 +11 50 37.03 20.777 19.381 18.297   0
08 51 58.013 +11 50 37.62 21.412 19.725 17.536  10
08 51 47.411 +11 50 37.09 20.804 19.327 18.291   0
08 51 13.608 +11 50 38.04 13.037 12.270 11.528  42
08 51 31.074 +11 50 39.09 21.792 19.875 17.526  21
08 51 39.260 +11 50 40.33 22.675 20.715 19.185   2
08 51 32.579 +11 50 40.58 12.456 12.250 11.939  98
08 51 14.438 +11 50 40.25 13.968 13.379 12.730 100
08 51 32.209 +11 50 40.65 23.177 20.988 19.917   0
08 50 57.583 +11 50 45.59 20.279 19.062 19.842   0
08 50 18.567 +11 50 49.81 22.245 20.546 18.399   0
08 51 43.128 +11 51 02.09 19.219 17.647 15.845  12
08 51 33.180 +11 51 02.20 21.837 19.820 17.671  12
08 51 15.376 +11 51 02.81 20.214 19.479 18.747  23
08 51 00.846 +11 51 05.42 18.536 17.751 16.824  17
08 50 57.015 +11 51 05.81 21.649 20.248 18.260  10
08 51 29.965 +11 51 09.02 14.724 14.098 13.398  99
08 50 54.739 +11 51 09.33 14.078 13.515 12.888  99
08 51 05.950 +11 51 09.81 13.894 13.318 12.667   0
08 51 34.316 +11 51 10.44 11.071 10.915 10.604  76
08 51 48.327 +11 51 11.90 13.165 12.508 11.777   0
08 50 59.808 +11 51 12.60 15.527 14.811 14.047  97
08 51 40.116 +11 51 13.59 21.542 19.606 17.148   0
08 51 28.988 +11 51 13.87 18.968 17.569 16.062  24
08 51 43.869 +11 51 16.26 22.790 21.471 19.639  22
08 51 33.069 +11 51 16.01 16.043 15.236 14.349  74
08 51 31.918 +11 51 16.62 14.631 14.009 13.304  97
08 50 31.049 +11 51 16.31 17.945 16.944 16.704   0
08 50 31.877 +11 51 16.75 19.374 18.204 16.897  22
08 50 21.445 +11 51 16.38 21.396 20.086 18.021   0
08 50 29.708 +11 51 16.83 20.582 19.372 17.995   1
08 51 13.618 +11 51 18.26 14.175 13.599 12.976 100
08 50 25.750 +11 51 17.51 21.968 20.175 18.264  22
08 51 30.324 +11 51 22.17 15.639 14.895 14.095  90
08 51 42.365 +11 51 23.03 12.295 11.219 10.171   0
08 50 55.080 +11 51 22.41 15.814 15.297 14.678  10
08 50 17.279 +11 51 21.12        20.971 19.880   0
08 51 02.787 +11 51 25.42 15.398 14.543 13.627  90
08 50 32.055 +11 51 26.25 16.130 15.455 14.723   0
08 51 13.976 +11 51 29.08 19.832 18.189 16.287  29
08 51 29.860 +11 51 29.92 13.792 13.299 12.715  99
08 50 56.327 +11 51 29.25 14.703 14.102 13.423  99
08 51 50.576 +11 51 31.27 16.390 15.723 14.976   3
08 50 37.154 +11 51 32.15 18.401 17.140 15.698  29
08 51 42.357 +11 51 33.83 22.517 21.899         14
08 50 58.845 +11 51 38.44 20.189 20.056 19.469   0
08 51 35.178 +11 51 39.46 16.096 15.294 14.443  24
08 51 03.841 +11 51 39.29 20.400 18.646 16.854  57
08 51 39.389 +11 51 39.94 22.999 20.858 20.146   0
08 51 13.356 +11 51 40.11 14.464 13.434 12.349 100
08 51 03.536 +11 51 40.41 18.408 17.151 15.783  87
08 51 49.291 +11 51 42.60 21.626 21.147 20.322   0
08 51 47.987 +11 51 43.37 20.633 19.985 19.156   5
08 51 33.654 +11 51 44.97 13.825 13.203 12.501  99
08 51 39.387 +11 51 45.62 13.103 12.102 11.093  25
08 50 20.512 +11 51 44.04 18.314 17.288 16.121   0
08 51 27.872 +11 51 46.13 15.411 14.635 13.766  99
08 51 04.489 +11 51 45.95 14.709 14.044 13.297  99
08 50 52.349 +11 51 51.44 20.468 19.701 18.833   2
08 51 27.013 +11 51 52.52 10.963 10.940 10.821  96
08 51 12.871 +11 51 52.93 20.836 19.093 17.234  34
08 50 29.951 +11 51 51.95 22.142 20.894 18.687   0
08 51 45.002 +11 51 53.85 21.503 20.777 19.770   0
08 51 36.231 +11 51 53.91 21.602 20.460 19.181   1
08 50 36.931 +11 51 52.71 21.200 20.208 19.192   1
08 50 56.171 +11 51 55.62 15.358 14.643 13.891   0
08 51 07.562 +11 51 56.48 15.635 14.896 14.125  98
08 51 31.554 +11 51 57.44 15.656 14.898 14.050   0
08 50 51.206 +11 51 57.07 19.902 18.306 16.573  66
08 50 54.081 +11 51 57.39 21.675 19.535 17.313  18
08 51 15.439 +11 51 57.93 15.756 15.008 14.226  98
08 51 28.805 +11 51 59.93 13.339 12.653 11.912 100
08 50 31.333 +11 51 58.56 22.501 20.503 18.266   0
08 50 23.393 +11 51 58.49 15.424 14.592 13.729   0
08 51 47.944 +11 52 02.50 20.354 18.657 16.756  33
08 51 46.572 +11 52 02.66 21.045 20.770 20.053   9
08 51 41.460 +11 52 04.00 22.315 20.687 18.411  19
08 50 35.820 +11 52 04.37 21.960 20.880 19.405  50
08 51 40.666 +11 52 06.76 18.110 16.790 15.335   0
08 50 52.523 +11 52 06.99 21.337 22.002          1
08 51 28.958 +11 52 12.50 15.754 14.961 14.091  98
08 50 55.693 +11 52 14.65 12.533 11.954 11.287  98
08 50 29.864 +11 52 15.23 21.189 20.756 20.157   2
08 51 28.303 +11 52 17.52 13.377 12.796 12.149 100
08 51 26.976 +11 52 20.27 21.977 19.842 17.546   1
08 50 58.158 +11 52 22.33 13.784 12.841 11.888 100
08 51 03.910 +11 52 24.69 16.757 15.986 15.106   0
08 51 02.994 +11 52 25.71 15.716 14.977 14.186  98
08 51 04.925 +11 52 26.15 14.416 13.841 13.184 100
08 50 35.242 +11 52 25.66 19.845 18.363 17.029   5
08 50 18.708 +11 52 26.49 19.520 18.277 16.924   0
08 52 00.525 +11 52 29.13 16.013 15.221 14.389  97
08 52 21.937 +11 52 29.80        21.090 18.345  44
08 51 42.143 +11 52 30.03 16.708 16.029 15.273   2
08 51 34.244 +11 52 30.99 18.594 17.593 16.446   1
08 51 12.119 +11 52 31.53 21.340 21.749         34
08 50 55.224 +11 52 31.58        21.586 19.720   1
08 51 05.510 +11 52 32.16 16.706 15.721 14.625  97
08 51 02.120 +11 52 32.80 20.113 18.459 16.540  72
08 51 45.120 +11 52 33.55 16.779 15.926 15.073  23
08 50 47.151 +11 52 32.96 16.955 16.091 15.167   0
08 51 01.783 +11 52 34.72 21.185 22.394         29
08 50 10.656 +11 52 34.98        17.754          0
08 50 46.420 +11 52 36.59 22.018 20.985 18.674  20
08 50 24.344 +11 52 36.21 16.042 15.241 14.410   0
08 51 21.755 +11 52 37.88 11.921 11.257 10.559  98
08 51 25.523 +11 52 38.82 13.850 13.262 12.594  99
08 51 41.077 +11 52 42.01 17.275 16.385 15.454   1
08 51 12.695 +11 52 42.45 11.589 10.462  9.406  97
08 51 40.077 +11 52 43.38 14.383 13.783 13.125  94
08 50 33.486 +11 52 41.87 22.505 20.833 18.385   9
08 51 37.360 +11 52 44.90 24.304 21.525 19.202  41
08 51 00.497 +11 52 45.41        20.652 18.360  14
08 50 29.133 +11 52 45.07 22.130 20.754 19.308  36
08 51 39.568 +11 52 48.02 22.458 20.582 18.216   4
08 51 20.159 +11 52 48.01 14.438 13.864 13.214  94
08 50 29.469 +11 52 49.71 20.447 20.690 20.713  13
08 50 58.575 +11 52 51.84 21.190 19.564 17.281  51
08 50 31.566 +11 52 51.92 18.179 17.004 15.709   0
08 50 41.185 +11 52 53.98 20.658 19.677 18.288  45
08 50 28.457 +11 52 53.45 26.745 22.050          2
08 51 02.820 +11 52 54.98 17.798 16.683 15.484  87
08 51 12.339 +11 52 55.72 17.629 16.416 15.046  94
08 50 55.723 +11 52 55.66 15.775 15.008 14.215  98
08 51 42.175 +11 52 56.68 20.531 19.796 18.824   3
08 51 07.518 +11 52 56.14 14.486 13.879 13.214 100
08 51 15.759 +11 52 58.84 13.390 12.810 12.148 100
08 50 15.247 +11 52 57.72        21.924         25
08 50 27.243 +11 52 58.16 21.767 20.062 18.315   1
08 51 15.502 +11 53 00.01 22.239 20.454 18.599   2
08 52 15.455 +11 53 01.49 15.115 14.454 13.737  97
08 51 04.500 +11 53 01.56        20.882 18.446  26
08 51 07.226 +11 53 01.96 13.266 12.567 11.745 100
08 51 27.494 +11 53 02.50 14.796 14.171 13.474  99
08 51 05.867 +11 53 04.06 21.084 22.405          3
08 51 39.050 +11 53 05.25 16.452 15.489 14.453  91
08 51 03.697 +11 53 05.77 18.910 17.540 16.041  81
08 51 34.972 +11 53 06.65 21.930 20.249 19.115  11
08 51 14.694 +11 53 06.44 19.204 17.948 16.593   0
08 52 05.102 +11 53 09.43 20.235 18.520 16.707  72
08 51 21.942 +11 53 08.93 16.070 15.275 14.424  96
08 51 05.820 +11 53 10.75 15.799 15.041 14.242  98
08 51 31.949 +11 53 11.78 13.641 13.073 12.434 100
08 51 00.763 +11 53 11.50 15.498 14.777 14.008  98
08 51 14.439 +11 53 13.91 21.901 21.426 19.231  37
08 51 09.216 +11 53 14.28 18.981 17.604 16.062  83
08 51 33.063 +11 53 14.88 20.850 18.993 16.898  22
08 50 17.370 +11 53 13.04        20.075 17.503   2
08 51 25.607 +11 53 15.87 16.410 15.558 14.660  92
08 50 15.073 +11 53 14.76        20.836 20.017  50
08 51 31.196 +11 53 18.02 14.290 13.707 13.049 100
08 50 55.715 +11 53 17.29 21.857 20.029 17.724  17
08 51 31.196 +11 53 18.02 14.290 13.706 13.048 100
08 51 27.118 +11 53 18.83 20.082 19.035 17.659   1
08 51 28.058 +11 53 19.63 17.720 16.647 15.469  94
08 50 38.981 +11 53 19.03 18.541 17.930 17.268   1
08 51 50.746 +11 53 22.61 17.787 16.677 15.433  58
08 51 20.793 +11 53 26.15 11.276 10.982 10.364  84
08 51 10.142 +11 53 25.83 20.282 19.100 17.844   3
08 51 31.901 +11 53 26.57 17.372 16.630 15.804   0
08 51 27.421 +11 53 26.60 13.307 12.746 12.094 100
08 51 10.711 +11 53 26.63 17.637 16.567 15.393  92
08 51 21.591 +11 53 27.08 20.851 19.210 17.462   7
08 51 35.555 +11 53 27.73 22.149 22.547         24
08 50 40.455 +11 53 27.29 21.250 19.411 17.599   0
08 50 39.434 +11 53 26.94 21.345 21.969         54
08 51 37.122 +11 53 28.97 22.697 20.466 18.281   4
08 50 31.247 +11 53 27.82 18.249 17.040 15.734  88
08 50 19.384 +11 53 27.70 20.063 18.465 16.570  18
08 50 30.166 +11 53 28.38 19.462 18.726 17.909  10
08 50 37.881 +11 53 29.58        22.037         12
08 50 56.992 +11 53 30.69 21.018 19.025 16.501   0
08 50 28.686 +11 53 30.10 17.797 16.669 15.413  89
08 51 31.909 +11 53 32.90 16.254 15.429 14.547  97
08 50 38.803 +11 53 32.41 15.841 15.195 14.497  97
08 51 35.778 +11 53 34.77 13.231 12.245 11.249  96
08 51 35.406 +11 53 34.71 22.137 21.302 20.484   0
08 50 39.998 +11 53 34.88 21.967 21.325 19.194   0
08 51 12.291 +11 53 36.51 17.373 16.574 15.723   0
08 51 49.353 +11 53 38.97  8.858  7.675  6.594   6
08 50 33.702 +11 53 37.90 21.833 21.330 19.730  33
08 51 09.255 +11 53 39.50 18.211 17.004 15.699  89
08 51 46.057 +11 53 40.24 19.242 17.875 16.382  79
08 50 55.704 +11 53 39.72 21.881 22.423         35
08 51 00.364 +11 53 40.22 21.522 20.567 19.135   7
08 52 11.007 +11 53 41.82 22.212 21.578 20.733  36
08 51 02.137 +11 53 42.53 22.305 20.481 18.369   0
08 50 22.824 +11 53 42.89 19.009 18.247 17.486   0
08 51 32.845 +11 53 44.78 15.930 15.155 14.328  98
08 51 47.357 +11 53 47.65 21.925 20.741 18.653  41
08 51 50.251 +11 53 47.86 21.413 21.416 20.403   0
08 51 05.898 +11 53 47.48 19.936 18.308 16.454  65
08 50 26.864 +11 53 46.45 21.472 21.271 18.835  16
08 51 18.774 +11 53 49.60 21.850 21.309 20.355   0
08 50 16.292 +11 53 48.03 13.348 12.783 12.128 100
08 51 26.184 +11 53 51.99 11.564 10.437  9.404  97
08 51 12.925 +11 53 52.26 16.362 15.529 14.634  96
08 50 56.007 +11 53 51.98 14.205 13.630 12.986  99
08 52 18.755 +11 53 53.42 20.588 18.905 16.963  65
08 51 45.677 +11 53 54.54 18.257 16.886 15.383  91
08 50 35.034 +11 53 54.52 18.165 16.961 15.585  88
08 50 58.396 +11 53 55.42 21.333 19.370 17.162  46
08 52 10.398 +11 53 56.45 21.829 21.380 19.263   0
08 51 24.927 +11 53 56.81 21.148 20.992 19.872  19
08 50 57.925 +11 53 56.68 19.362 18.448 17.574   4
08 51 37.659 +11 53 57.55 20.410 18.795 16.946  50
08 50 32.818 +11 53 57.22 20.645 19.944 19.008   0
08 51 24.977 +11 53 58.91 23.612 21.120 19.884   1
08 50 40.678 +11 53 59.41 18.460 17.203 15.795  81
08 51 00.383 +11 54 00.89 22.697 20.851 19.562  52
08 51 30.509 +11 54 02.20 21.013 19.988 19.147   5
08 51 15.231 +11 54 02.78 20.392 19.410 18.340   4
08 51 44.804 +11 54 03.74        21.574 19.600  11
08 51 15.845 +11 54 03.72 16.263 15.425 14.517  66
08 51 53.682 +11 54 04.94        21.900 20.781   0
08 50 33.558 +11 54 03.56 21.494 20.400 19.241  46
08 51 23.145 +11 54 05.02 14.804 14.163 13.469  99
08 51 00.419 +11 54 04.89 18.421 17.171 15.829  89
08 50 36.995 +11 54 04.68 15.164 14.373 13.501  99
08 51 32.136 +11 54 06.25 21.778 19.836 17.518  34
08 51 13.134 +11 54 07.33 21.014 20.477 19.773  30
08 50 23.726 +11 54 06.21 21.603 21.517 19.080   2
08 50 30.264 +11 54 06.65 21.543 19.982 18.216  26
08 50 27.952 +11 54 08.07 22.316 21.289 18.415  23
08 51 15.596 +11 54 09.72 22.612 20.604 17.924  22
08 51 50.048 +11 54 11.00 22.305 21.077 18.685  44
08 51 03.497 +11 54 10.97 21.257 21.898 20.746   0
08 50 52.986 +11 54 10.74 16.825 16.117 15.316   0
08 51 49.354 +11 54 11.88 21.806 20.985 20.080   0
08 50 30.446 +11 54 10.62 19.499 18.668 17.876   0
08 50 30.405 +11 54 10.51 20.181 20.186 18.029   0
08 50 53.083 +11 54 11.81 17.941 17.158 16.320   0
08 50 34.296 +11 54 11.81 19.697 18.189 16.472  71
08 50 30.442 +11 54 11.18 19.755 20.390 19.967   0
08 51 49.974 +11 54 13.76 21.731 21.385 20.340   2
08 51 13.777 +11 54 13.52 18.994 18.415 17.671   0
08 51 29.407 +11 54 13.98 13.416 12.828 12.162 100
08 51 38.419 +11 54 14.14 21.697 21.347 20.400   1
08 51 15.623 +11 54 14.09 20.782 18.939 16.906   0
08 51 21.297 +11 54 14.52 17.251 16.232 15.117  96
08 51 04.435 +11 54 14.71 21.539 20.790 19.932  23
08 51 37.575 +11 54 16.46 20.437 18.778 16.872  12
08 51 19.685 +11 54 16.43 18.478 17.867 17.185   4
08 50 52.962 +11 54 16.09 21.545 20.838 19.970  29
08 51 18.815 +11 54 18.21 18.032 16.786 15.382  89
08 51 06.371 +11 54 18.84 20.025 18.245 16.116  76
08 50 20.125 +11 54 18.29 19.908 18.313 16.512  36
08 51 08.267 +11 54 19.95 17.342 16.715 15.959   0
08 51 03.526 +11 54 20.11 21.795 21.427 20.647  29
08 51 14.108 +11 54 20.72 22.296 20.443 18.173   0
08 52 01.161 +11 54 23.10 21.908 21.486 18.673  38
08 51 12.292 +11 54 23.00 14.788 14.156 13.459  99
08 50 58.019 +11 54 22.85        20.680 18.140  36
08 50 18.385 +11 54 24.02 15.459 14.709 13.917  97
08 51 39.478 +11 54 26.69 21.278 20.794 20.295   9
08 51 36.540 +11 54 27.33 15.977 15.182 14.329  97
08 50 10.756 +11 54 25.64        19.484         46
08 50 32.916 +11 54 27.14        21.151 18.426  12
08 51 41.229 +11 54 29.07 13.338 12.777 12.143 100
08 50 17.274 +11 54 27.86 16.319 15.451 14.535  96
08 51 33.789 +11 54 32.10 22.054 20.841 18.587  42
08 51 00.178 +11 54 32.12 13.529 12.734 11.892 100
08 50 26.561 +11 54 32.49 20.176 18.538 16.619  63
08 51 10.669 +11 54 34.20 17.316 16.319 15.208  94
08 51 36.224 +11 54 35.04 22.394 20.131 17.873  17
08 51 45.460 +11 54 35.40 20.389 18.627 16.482  68
08 50 51.279 +11 54 35.80        21.515 19.159  45
08 50 59.663 +11 54 36.76        22.044 20.408  24
08 50 59.771 +11 54 37.87        22.031 20.706   1
08 51 42.758 +11 54 39.78 18.680 17.362 15.944  89
08 50 32.945 +11 54 39.06 21.863 20.359 17.982  27
08 51 12.130 +11 54 40.44 16.025 15.255 14.419  98
08 50 51.662 +11 54 40.54 22.750 21.713 20.546  35
08 50 38.026 +11 54 40.73 15.391 14.676 13.918  47
08 52 09.406 +11 54 43.63        21.790 19.568  14
08 51 46.320 +11 54 43.57 22.021 20.981 18.735  12
08 51 33.317 +11 54 44.01 20.401 18.694 16.819  64
08 51 14.139 +11 54 45.52 21.799 21.543 20.735  54
08 50 24.448 +11 54 45.84 20.593 19.177 17.639  55
08 51 32.947 +11 54 47.52 16.643 15.743 14.798  97
08 50 33.920 +11 54 46.27 21.689 21.160 19.570  39
08 50 16.518 +11 54 46.58 15.737 15.023 14.232  92
08 51 37.028 +11 54 50.01 16.337 15.498 14.600  97
08 50 15.810 +11 54 48.34        21.275 18.355  19
08 51 21.259 +11 54 50.11 21.297 19.342 16.400   0
08 50 23.538 +11 54 48.66 22.052 20.252 17.895  41
08 50 15.511 +11 54 50.03 19.908 18.390 16.603   0
08 50 28.051 +11 54 50.59 14.740 14.106 13.395  98
08 51 35.601 +11 54 52.43 20.838 20.256 19.566  11
08 51 49.444 +11 54 53.12 18.043 17.450 16.776   0
08 50 59.435 +11 54 52.39 16.620 15.822 14.916   4
08 51 21.944 +11 54 53.24 21.855 19.881 16.992   0
08 51 07.018 +11 54 53.68 21.548 21.405 20.821   1
08 50 53.877 +11 54 54.60 21.773 20.906 17.917  24
08 50 21.677 +11 54 53.88 19.466 18.694 17.874   1
08 50 20.346 +11 54 54.82 19.559 18.810 17.929   0
08 51 31.725 +11 54 57.00 18.582 17.293 15.890  87
08 50 18.350 +11 54 55.77 21.860 20.896 20.069   3
08 51 07.212 +11 54 57.32 23.364 21.180 19.146   4
08 50 30.015 +11 54 58.19 21.781 20.902 20.097   6
08 52 10.480 +11 55 00.09 19.874 18.193 16.339  24
08 51 37.113 +11 55 00.00 13.766 13.199 12.550 100
08 50 22.849 +11 54 58.82 20.842 19.386 17.688  10
08 51 08.927 +11 55 00.49 21.996 20.867 18.630  33
08 50 29.148 +11 55 00.44 20.281 19.556 18.689   7
08 50 18.196 +11 55 01.87 19.905 18.134 15.770   0
08 50 51.651 +11 55 04.47 18.700 17.425 15.972  80
08 51 46.389 +11 55 07.14 21.786 20.500 19.638   1
08 50 14.765 +11 55 05.33        20.426 17.961  39
08 51 32.062 +11 55 08.65 14.291 13.646 12.951 100
08 50 26.640 +11 55 08.02 19.593 19.020 18.393   0
08 51 45.603 +11 55 09.57        21.370 18.854  19
08 51 38.477 +11 55 11.12 22.203 21.399 18.854  47
08 50 33.014 +11 55 10.71 21.839 20.836 20.110   6
08 51 28.757 +11 55 12.95 21.493 19.872 17.670  22
08 50 35.291 +11 55 12.04 17.683 17.063 16.339   0
08 50 28.938 +11 55 12.11 20.010 18.412 16.608  65
08 51 35.019 +11 55 15.33 20.448 18.926 17.103   1
08 50 57.621 +11 55 14.70 13.928 13.367 12.718 100
08 50 54.300 +11 55 15.28 15.852 15.033 14.095  98
08 51 00.314 +11 55 15.98        20.950 18.377  27
08 51 21.981 +11 55 17.95 20.796 18.970 16.988  24
08 51 50.017 +11 55 18.39 19.055 18.311 17.509  12
08 51 47.825 +11 55 18.29 20.011 19.202 18.385  23
08 52 09.563 +11 55 19.11        21.343 19.830  46
08 51 05.195 +11 55 18.46 21.850 20.120 18.618   0
08 51 45.803 +11 55 22.00 21.391 21.663 20.659   2
08 51 02.465 +11 55 22.21 16.651 15.758 14.798  97
08 50 18.272 +11 55 21.21 10.969  9.839  8.730  97
08 51 30.599 +11 55 23.13 21.232 19.506 17.439  31
08 51 26.655 +11 55 25.07 21.407 21.013 20.140  19
08 51 00.170 +11 55 28.13 21.422 21.536 19.501  19
08 50 50.690 +11 55 31.44 17.085 16.140 15.090  90
08 51 49.789 +11 55 32.51 20.441 18.721 16.878  37
08 50 16.327 +11 55 31.02        21.093 18.816  20
08 52 02.476 +11 55 34.20 15.468 14.745 13.981  99
08 50 11.844 +11 55 31.97        20.750         27
08 51 11.745 +11 55 34.37 18.544 17.765 16.873   0
08 51 45.146 +11 55 35.37 22.714 20.874 19.296   1
08 51 08.219 +11 55 35.93 16.632 15.746 14.801  91
08 50 37.902 +11 55 35.21 21.249 19.550 17.454  26
08 51 14.275 +11 55 36.48 21.938 21.028 19.135  25
08 51 30.732 +11 55 37.93 22.395 20.553 18.117  30
08 51 25.482 +11 55 38.73 19.387 17.944 16.324  67
08 51 49.441 +11 55 40.71 22.199 21.316 20.531  41
08 51 27.889 +11 55 40.96 13.918 13.299 12.625  96
08 51 04.158 +11 55 42.47        20.910 19.366  23
08 52 06.171 +11 55 45.65 22.115 21.747 20.260  12
08 50 20.215 +11 55 44.45 22.657 21.428 20.217   2
08 50 25.588 +11 55 44.84        21.086 19.070  28
08 50 22.742 +11 55 44.71 22.021 20.519 18.170   0
08 51 18.723 +11 55 49.72 14.731 14.130 13.449  96
08 51 49.589 +11 55 50.60 20.027 20.847 20.171   0
08 50 37.099 +11 55 51.34 22.278 20.557 18.201  12
08 50 27.162 +11 55 51.11 21.360 20.396 19.206  18
08 51 32.220 +11 55 53.57 19.378 18.534 17.586   0
